date,channel,total_spend,total_impressions,total_clicks,attributed_orders,attributed_revenue,attributed_margin,promo_flag,day_of_week,week_index,roas
2025-07-04,email,19566.32,424886,4484,20.0,139247.75,57411.600000000006,1,4,0,7.116706156293059
2025-07-04,organic,5380.51,620736,7272,14.0,72632.79,26110.89,1,4,0,13.499238919730656
2025-07-04,paid_social,157932.61,856233,15201,30.0,174574.36,66320.92,1,4,0,1.1053724750069032
2025-07-04,referral,32210.79,114693,2305,6.0,42112.65,17729.42,1,4,0,1.3074081697468458
2025-07-04,search,188257.71,783751,21862,43.0,275444.15,113306.40000000001,1,4,0,1.4631228118094077
2025-07-05,email,18352.15,314430,3637,14.0,70770.53,27766.54,0,5,0,3.856252809616312
2025-07-05,organic,4010.76,691234,7937,11.0,67543.75,26447.79,0,5,0,16.840636188652525
2025-07-05,paid_social,130147.97,698370,11082,11.0,52556.16,19790.47,0,5,0,0.403818515186983
2025-07-05,referral,32529.45,112069,1857,3.0,22179.53,10199.720000000001,0,5,0,0.6818292347395974
2025-07-05,search,159676.14,724248,21583,34.0,225929.55,95469.51999999999,0,5,0,1.414923669873282
2025-07-06,email,17708.52,337532,4825,16.0,118021.19,46997.09,0,6,0,6.6646557702168225
2025-07-06,organic,4565.21,647358,6517,4.0,22283.739999999998,9218.99,0,6,0,4.881208093384532
2025-07-06,paid_social,126196.48,686203,10437,11.0,58846.24,19203.989999999998,0,6,0,0.46630650870769136
2025-07-06,referral,29244.95,125282,2314,3.0,18360.23,8229.0,0,6,0,0.6278085618200749
2025-07-06,search,164394.8,690489,15126,23.0,182803.54,76386.09,0,6,0,1.1119788460462254
2025-07-07,email,16110.2,288473,3760,16.0,90117.32,40991.28,0,0,0,5.593805166912888
2025-07-07,organic,3856.91,517327,3997,3.0,31038.190000000002,10878.44,0,0,0,8.047423974113993
2025-07-07,paid_social,117923.28,630712,14087,15.0,122739.98000000001,49770.24,0,0,0,1.0408460483799298
2025-07-07,referral,29280.44,129616,3108,8.0,61029.909999999996,27117.43,0,0,0,2.0843235279251267
